position,priority,supplier_name,supplier_type,address,phone,whatsapp,whatsapp_verified,twogis_url,website,instagram,business_hours,relevance_evidence,technical_status,question_to_supplier,notes
"Фрезы","A","Professional V","Магазин инструментов","Рынок Михайловский, улица Московская, 10 н.п 1; Михайловка м-н, Казыбек Би район, Караганда","+7 776 542 40 20","+7 776 542 40 20","true","https://2gis.kz/karaganda/firm/70000001034322151","","https://www.instagram.com/professional.krg","Закрыто; обед, откроется через 17 минут","Карточка 2GIS: магазин; заявлен большой выбор инструментов; категория «Слесарно-монтажный инструмент»; есть публичный Instagram и Kaspi-магазин.","⚠️ Требует подтверждения","Есть ли обкаточная фреза с верхним подшипником D10/d8, L=50 мм (2 шт.) и прямая пазовая D10/d8, H=35 мм (1 шт.); цена, фото маркировки, наличие сегодня?","WhatsApp подтверждён отдельной кнопкой 2GIS и ссылкой wa.me/77765424020. Точное наличие и размеры не доказаны."
"Фрезы","A","TSSP","Официальный представитель Bosch, Makita, ALTECO","134-й учетный квартал, ст181 1/А; Казыбек Би район, Караганда","+7 778 096 52 76","+7 701 962 84 10","true","https://2gis.kz/karaganda/firm/70000001050072725","http://www.tssp.kz/","https://instagram.com/tssp.kz","Открыто; сегодня 09:00–18:00","Карточка 2GIS: официальный представитель Bosch, Makita, ALTECO; в поиске 2GIS показана как поставщик деревообрабатывающего инструмента; заявлена доставка.","⚠️ Требует подтверждения","Проверить обе точные фрезы D10/d8: обкаточная с верхним подшипником L=50 мм (2 шт.) и прямая H=35 мм (1 шт.); цену, фото, наличие сегодня.","WhatsApp подтверждён отдельной кнопкой 2GIS и ссылкой wa.me/77019628410; телефон и WhatsApp различаются."
"Фрезы","A","Instrum-z","Магазин инструментов","Улица Толепова, 6; Михайловка м-н, Казыбек Би район, Караганда","+7 721 278 86 85","+7 777 160 57 27","true","https://2gis.kz/karaganda/firm/11822477302923366","","http://www.instagram.com/instrumz/","Открыто; сегодня 08:30–17:30","Карточка 2GIS: магазин инструментов, категория «Металлорежущий инструмент»; заявлен широкий ассортимент профессионального и любительского инструмента.","⚠️ Требует подтверждения","Уточнить наличие и цену обеих фрез D10/d8, обязательно L=50 мм с верхним подшипником и H=35 мм; запросить фото маркировки.","WhatsApp подтверждён отдельной кнопкой 2GIS и ссылкой wa.me/77771605727. В карточке указано «Показать телефоны»; скрытые дополнительные номера не раскрывались."
"Фрезы","A","Партнер","Магазин крепежа и инструмента","Улица Ермекова, 17; Новый город м-н, Казыбек Би район, Караганда","+7 721 250 58 50","+7 707 302 74 71","true","https://2gis.kz/karaganda/firm/11822477302935685","https://mypartner.kz/","https://instagram.com/partner.krg","Открыто; сегодня 09:00–18:00","Карточка 2GIS: магазин крепежа и инструмента; прямо заявлены электроинструмент и расходные материалы; есть публичный каталог с ценами.","⚠️ Требует подтверждения","Проверить фрезы D10/d8: обкаточную с верхним подшипником L=50 мм и прямую пазовую H=35 мм; наличие, цена и фото упаковки.","WhatsApp подтверждён отдельной кнопкой 2GIS и ссылкой wa.me/77073027471."
"Фрезы","C","PROСВЕТ ХозМарт","Магазин хозтоваров","Улица Затаевича, 61; Казыбек Би район, Караганда","+7 700 303 23 74","+7 700 303 23 74","true","https://2gis.kz/karaganda/firm/70000001046912872","","https://instagram.com/prosvet.krg","Открыто; сегодня 09:00–17:00","Карточка 2GIS: магазин хозтоваров для ремонта; найден по точному запросу «Фрезы», есть официальный Instagram.","⚠️ Требует подтверждения","Продаются ли фрезы по дереву для ручного фрезера; есть ли точные D10/d8, L=50 мм с верхним подшипником и D10/d8 H=35 мм?","WhatsApp доказан отдельной кнопкой «Написать в WhatsApp» и ссылкой api.whatsapp.com с параметром phone=77003032374. Резерв общего профиля."
"Фрезы","C","Сымбат","Строительный магазин","Рынок Горняк, 12-й микрорайон, 21/2; Алихана Бокейхана район, Караганда","+7 778 277 53 06","+7 778 277 53 06","true","https://2gis.kz/karaganda/firm/70000001082378579","","https://instagram.com/symbat_td","Круглосуточно","Карточка 2GIS: строительный магазин, категория «Стройматериалы»; найден в выдаче по запросу «Фрезы»; официальный Instagram.","⚠️ Требует подтверждения","Есть ли отдел электроинструмента/оснастки и точные фрезы D10/d8 нужной длины; цена, фото, наличие сегодня?","WhatsApp подтверждён отдельной кнопкой 2GIS и ссылкой wa.me/77782775306. Доп. телефоны из tel-ссылок: +7 700 756 00 29; +7 701 277 90 63."
"Фрезы","B","Комфорт","Строймаркет","Проспект Шахтёров, 74; Юго-Восточный м-н, Казыбек Би район, Караганда","+7 721 236 63 94","+7 700 280 75 95","true","https://2gis.kz/karaganda/firm/70000001018612083","","https://instagram.com/komfort_krg_09","Открыто; сегодня 09:00–18:00","Карточка 2GIS: строймаркет; появился в выдаче по запросам «Фрезы» и «деревообрабатывающий инструмент»; официальный Instagram.","⚠️ Требует подтверждения","Проверить отдел электроинструмента и фрезы D10/d8: обкаточную с подшипником L=50 мм и прямую H=35 мм.","WhatsApp подтверждён кнопками 2GIS; извлечён номер wa.me/77002807595. В карточке несколько WhatsApp-кнопок, основной номер взят из первой доказанной ссылки."
"Фрезы","B","Мир крепежа","Магазин крепежа","Улица Ерубаева, 66; Новый город м-н, Казыбек Би район, Караганда","+7 721 291 03 21","+7 702 468 91 65","true","https://2gis.kz/karaganda/firm/11822477302832986","","","Открыто; сегодня 08:00–17:00","Карточка 2GIS: магазин, категория «Крепёж»; найден по точному запросу «Фрезы» и связан с магазинами инструмента в выдаче.","⚠️ Требует подтверждения","Есть ли оснастка для ручного фрезера и обе фрезы D10/d8 точных размеров; цена и наличие сегодня?","WhatsApp подтверждён отдельной кнопкой 2GIS и ссылкой wa.me/77024689165. Сайт из блока «Похожие организации» не приписан этому поставщику."
"Фрезы","C","Novostroy-Group","Строительный магазин","Улица Казахстанская, 20; Михайловка м-н, Казыбек Би район, Караганда","+7 707 545 81 75","+7 777 616 23 74","true","https://2gis.kz/karaganda/firm/11822477302880935","http://novostroykrg.kz/","https://instagram.com/novostroygroupkz","Открыто; сегодня 08:00–19:00","Карточка 2GIS: строительный магазин, официальный сайт и Instagram; показан по запросам «Фрезы» и «деревообрабатывающий инструмент».","⚠️ Требует подтверждения","Есть ли электроинструмент/фрезерная оснастка; наличие точных D10/d8 L=50 мм с подшипником и D10/d8 H=35 мм.","WhatsApp подтверждён отдельной кнопкой 2GIS и ссылкой wa.me/77776162374. Резерв общего профиля."
"Фрезы","B","Центр крепежа","Крепёж","Улица Бытовая, 15 к1; Казыбек Би район, Караганда","+7 701 991 14 08","+7 701 035 90 41","true","https://2gis.kz/karaganda/firm/70000001027943898","http://ck.kz/","https://instagram.com/centerkrepezha","Открыто; сегодня 08:00–17:00","Карточка 2GIS: категория «Крепёж», ТОО «Центр крепежа», официальный сайт/Instagram; найден по запросам «Фрезы» и «деревообрабатывающий инструмент».","⚠️ Требует подтверждения","Есть ли фрезы для ручного фрезера D10/d8: обкаточная с верхним подшипником L=50 мм и прямая H=35 мм; цена, фото, наличие.","WhatsApp подтверждён отдельной кнопкой 2GIS и ссылкой wa.me/77010359041. Тип магазина в заголовке не задан, категория доказана."
