position,priority,supplier_name,supplier_type,address,phone,whatsapp,whatsapp_verified,twogis_url,website,instagram,business_hours,relevance_evidence,technical_status,question_to_supplier,notes
"Марля","A","Франт","Магазин тканей и швейной фурнитуры","Улица Гоголя, 22, Новый город м-н, Казыбек Би район, Караганда, Караганда городская администрация, 100012/M04H2F1","+7 721 256 16 00","+7 702 903 76 25","true","https://2gis.kz/karaganda/firm/11822477302837548","","https://instagram.com/frant_krg","Открыто; Сегодня c 10:00 до 19:00","Карточка 2GIS: Магазин тканей и швейной фурнитуры; Швейная фурнитура","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена за метр и наличие сегодня; уточнить причину возврата предыдущей марли.","2GIS подтверждает компанию, адрес, телефон, категорию и отдельную кнопку WhatsApp; точная ширина 1 м, белый цвет, розничная продажа и наличие 25 м публично не доказаны."
"Марля","A","Франт","Магазин тканей и швейной фурнитуры","Улица Полетаева, 15, Новый город м-н, Казыбек Би район, Караганда, 100009/M02C3C7","+7 705 277 09 84","+7 705 277 09 84","true","https://2gis.kz/karaganda/firm/70000001065981978","","https://instagram.com/frant_krg","Открыто; сегодня 10:00–19:00","Полная карточка 2GIS: магазин тканей и швейной фурнитуры, отдельный филиал с собственным адресом и телефоном.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена за метр и наличие сегодня; уточнить причину возврата предыдущей марли.","WhatsApp подтверждён отдельной кнопкой 2GIS и ссылкой wa.me/77052770984; точные параметры марли публично не доказаны."
"Марля","A","Ткани 777","Магазин тканей и швейной фурнитуры","Улица Комиссарова, 28, Новый город м-н, Казыбек Би район, Караганда, 100009/M01T7E8","+7 778 667 57 92","+7 778 667 57 92","true","https://2gis.kz/karaganda/firm/70000001103026438","","https://instagram.com/tkani_krg_777","Открыто; ежедневно 10:00–19:00","Полная карточка 2GIS: магазин тканей и швейной фурнитуры; профильный розничный кандидат.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена за метр и наличие сегодня; уточнить причину возврата предыдущей марли.","WhatsApp подтверждён отдельной кнопкой 2GIS и ссылкой wa.me/77786675792; второй филиал с тем же телефоном удалён как дубль."
"Марля","A","Мир ткани","Магазин тканей","Проспект Нурсултана Назарбаева, 32, Новый город м-н, Казыбек Би район, Караганда, 100012/M00A0T3","+7 721 256 14 36","","false","https://2gis.kz/karaganda/firm/11822477302833003","","https://instagram.com/mir_tkani_krg","Открыто; сегодня 11:00–18:00","Полная карточка 2GIS: магазин, категория тканей подтверждена поиском и публичным Instagram.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена за метр и наличие сегодня; уточнить причину возврата предыдущей марли.","Отдельной кнопки WhatsApp в карточке нет; использовать телефон. Точные параметры марли публично не доказаны."
"Марля","A","Вуаль","Магазин тканей","Проспект Строителей, 22, Юго-Восточный м-н, Казыбек Би район, Караганда, 100026/M01F4T4","+7 701 481 76 94","+7 701 481 76 94","true","https://2gis.kz/karaganda/firm/70000001029478239","","https://instagram.com/tkanifurniture","Открыто; ежедневно 10:00–18:30","Полная карточка 2GIS: профильный магазин тканей с публичным каталогом Instagram.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена за метр и наличие сегодня; уточнить причину возврата предыдущей марли.","WhatsApp подтверждён отдельной кнопкой 2GIS и ссылкой wa.me/77014817694; точные параметры марли публично не доказаны."
"Марля","A","Сундук швеи","Магазин швейной фурнитуры и ткани","KRAL, микрорайон Гульдер-1, 3Б/2, бутики 21–22, 2 этаж, Караганда, 100024","+7 701 023 11 81","+7 701 023 11 81","true","https://2gis.kz/karaganda/firm/70000001087671718","","https://instagram.com/sunduk_shvei","Открыто; сегодня 10:00–19:00","Полная карточка 2GIS: магазин швейной фурнитуры и ткани, профильный кандидат на метражный товар.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена за метр и наличие сегодня; уточнить причину возврата предыдущей марли.","WhatsApp подтверждён отдельной кнопкой 2GIS и ссылкой wa.me/77010231181; точные параметры марли публично не доказаны."
"Марля","A","Три нити","Магазин тканей","Улица Комиссарова, 36, офис 309, 3 этаж, Новый город м-н, Казыбек Би район, Караганда, 100009/M01T7H0","+7 701 520 79 50","+7 701 520 79 50","true","https://2gis.kz/karaganda/firm/70000001040253726","","https://instagram.com/3niti_tkani","Открыто; ежедневно 11:00–18:00","Полная карточка 2GIS: профильный магазин тканей с Instagram-каталогом.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена за метр и наличие сегодня; уточнить причину возврата предыдущей марли.","WhatsApp подтверждён отдельной кнопкой 2GIS и ссылкой wa.me/77015207950; точные параметры марли публично не доказаны."
"Марля","C","Алем","Магазин штор и тюли","ТЦ Алем, улица Затаевича, 77/3, бутик 40, 2 этаж, Казыбек Би район, Караганда, 100022/M01T0X9","+7 700 670 22 89","+7 700 670 22 89","true","https://2gis.kz/karaganda/firm/70000001094251606","","https://instagram.com/shtory_krg_alem","Открыто; сегодня 10:00–18:00","Полная карточка 2GIS: магазин штор и тюли, работает с тканями; резервный, менее профильный кандидат.","⚠️ Требует подтверждения","Продаётся ли вообще белая тканевая марля шириной строго 1 м в розницу; доступно ли 25 пог. м одним отрезом; цена и наличие; уточнить причину возврата предыдущей марли.","WhatsApp подтверждён отдельной кнопкой 2GIS и ссылкой wa.me/77006702289; ассортимент марли не доказан, поэтому приоритет C."
"Марля","A","Ткани","Салон тканей","ТРЦ Таир, улица Космонавтов, ст1/29, бутик 59, 1 этаж, Казыбек Би район, Караганда, 100022","+7 707 350 62 98","+7 707 350 62 98; +7 770 735 06 29","true","https://2gis.kz/karaganda/firm/70000001028067541","","https://instagram.com/tkani_tair","Открыто; ежедневно 10:00–20:00","Полная карточка 2GIS: салон тканей, профильный кандидат с отдельными WhatsApp-контактами.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена за метр и наличие сегодня; уточнить причину возврата предыдущей марли.","Обе отдельные кнопки WhatsApp подтверждены 2GIS; основной WhatsApp wa.me/77073506298, дополнительный wa.me/77707350629."
"Марля","B","La Parisienne","Салон элитных тканей и ателье","Улица Ерубаева, 33, Караганда","+7 701 909 44 77","+7 701 909 44 77","true","https://2gis.kz/karaganda/firm/70000001028771372","","https://instagram.com/parisienne.krg","Сегодня 10:00–19:00","Полная карточка 2GIS: салон элитных тканей и ателье; работает с тканями, но марля в ассортименте не заявлена.","⚠️ Требует подтверждения","Есть ли белая тканевая марля шириной строго 1 м; можно ли купить 25 пог. м одним отрезом/рулоном; цена и наличие сегодня.","Телефон и отдельная кнопка WhatsApp подтверждены в 2GIS; резерв из-за премиального профиля."
